OrderID,Customer_Age,Membership_Years,Items_In_Cart,Discount_Pct,Delivery_Distance_KM,Product_Category,Payment_Method,Is_Premium_Member,Season,Day_Of_Week,Transaction_Amount
ORD303467,51.0,2.9,2,26.0,21.0,Home & Kitchen,upi,no,Monsoon,Sat,59.5
ORD301538,52.0,2.2,9,14.3,10.0,Electronics,upi,no,Spring,Fri,387.02
ORD300078,36.0,2.8,9,20.299269776876265,11.2,Books,upi,yes,Winter,Wed,5.0
ORD304642,19.0,0.5,9,31.2,4.2,Home & Kitchen,debit card,yes,Summer,Wed,126.66
ORD300960,42.0,7.3,6,20.4,9.4,Beauty,debit card,no,Spring,Wed,85.65
ORD302842,19.0,4.8,3,30.1,0.9,Electronics,debit card,no,Spring,Fri,195.32
ORD303131,43.26208443809912,8.7,6,7.8,7.5,Clothing,credit card,no,Winter,Mon,82.6
ORD300449,42.0,2.7,6,29.8,11.3,Clothing,debit card,yes,Spring,Sat,96.33
ORD301334,63.0,2.6,8,7.4,0.8,Home & Kitchen,upi,yes,Monsoon,Mon,147.8
ORD304393,61.0,4.2,13,7.7,3.9,Sports,credit card,no,Monsoon,Mon,155.12
ORD300909,55.0,8.5,9,16.1,33.3,Clothing,credit card,no,Spring,Fri,56.53
ORD303487,31.0,11.2,8,4.8,1.4,Electronics,upi,no,Spring,Fri,445.82
ORD303157,18.0,8.2,10,7.4,7.2,Electronics,upi,no,Spring,Mon,488.77
ORD300427,18.0,2.0,10,6.4,10.8,Toys,debit card,no,Summer,Fri,40.11
ORD303524,24.0,1.8,13,38.5,1.1,Books,debit card,no,Winter,Tue,38.62
ORD303616,44.0,2.9,7,34.2,73.0,Clothing,upi,no,Spring,Wed,61.15
ORD302209,36.0,5.6,7,22.5,3.3,Home & Kitchen,credit card,yes,Monsoon,Sat,111.47
ORD301708,59.0,3.9,7,2.0,19.8,Sports,credit card,no,Summer,Thu,84.72
ORD302616,54.0,8.6,6,16.2,20.9,Electronics,upi,no,Monsoon,Mon,319.89
